name,country,date,review_score,review_header,review_body
Miguel Ángel Dimple Soto,CL,"Oct 17, 2024",1,Someone send fake copyright claim and…,"Someone send fake copyright claim and Vultr blocked me for no reason or without giving enough time to reply. Thank god I had backups but took me whole day to restore everything on other service provider and lost 100's in sales. Cherry on top they agreeed that coyright claim was a troll. People need to trust their service provider to support them, not pull the plug on critical service."
Daniel,NL,"Oct 11, 2024",1,All your Dutch based customers having…,"All your Dutch based customers having the same issues. All our customers on the Vultr platform are experiencing issues accessing various websites. It seems that the IP range of Vultr is being blocked, resulting in our customers being unable to visit many websites they need daily. Additionally, we receive reports of new sites that cannot be accessed on a weekly basis. Currently we hosting like 100+ servers, we have halted onboarding new servers to Vultr due to these ongoing issues. If the issues persist and are not resolved, we will unfortunately consider moving all our servers from Vultr to another provider. This applies to all servers hosted in Vultr Amsterdam."
Kevin Cerro,ES,"Updated Oct 24, 2024",1,Stay away from Vultr,"After having a 3 years old (inactive but with some financial history) account, I wanted to use it for a new project. They banned me without notice, after some failed attempts to contact, I reached via email to support and they required to verify my identity with id or passport. (Don't try to contact with same account email because they attach that to a ticket and you cannot login to view it, thanks Vultr for this awesome blocking feature) After sending the documents 3 times in HDR resolution, they answered that the documents are not clearly visible (wow I can see the dots of ink in my passport but for Vultr is not enough) If you have a company or some personal project, choose other provider because Vultr can block you at any time and you cannot manage the resources or export the data. My worst experience in 10 years of IT career."
Jack,ES,"Oct 7, 2024",5,It's a powerful and totally reliable…,It's a powerful and totally reliable service. I host all my webapps with them without any issues. Good ping and nice UI.
Christopher,SG,"Oct 2, 2024",1,Hosted a simple python script to scan…,"Hosted a simple python script to scan for market data and run simple backtest. However, account was immediately flagged as violation without further explanation despite similar use cases by other people. Tried talking to their customer service yet receive no actionable ways to proceed. Nightware experience"
Zaied Sifat,BD,"Oct 1, 2024",1,Horrible Experience with Vultr Singapore Zone,Vult Singapore VMs are going down again and again and from support they are pushing higher plans to migrate into. I have 20+ server with them almost everyday it's going down again and again.
Ibragim Abdulazizli,AZ,"Sep 26, 2024",1,It’s unacceptable that a company like…,"It’s unacceptable that a company like Vultr forces users to prepay and then leaves them stranded with poor support. You paid in good faith for GPU access, only to be met with radio silence from their support team, which is not only unprofessional but downright negligent. Waiting a week just to be told they can’t even enable the GPU usage on your account is absurd. Their failure to address the issue in a timely manner shows a complete disregard for your time and resources. Why should customers be expected to shell out money upfront when they can’t even deliver the service? The fact that they left you hanging for a week, offering no solutions or communication, speaks volumes about their lack of competence and customer care. It’s frustrating and a blatant red flag when a supposedly professional service provider wastes users' time with inadequate processes and support. Vultr needs to seriously reconsider how they handle their customers."
Janusz Liszka,PL,"Sep 26, 2024",1,The support is the worst I have ever…,"The support is the worst I have ever seen! They do not care about anything, definitely will use other hosing services, but not them!"
Mushad Ajmee,BD,"Sep 21, 2024",1,VULTR is a total scam,"VULTR is a total scam! They advertise 4TB of bandwidth for every $30 server, so I created 4-5 servers. But after using just 2TB of bandwidth, they started charging me for extra! A few days later, they suspended my account. Fine, I still had $250 credit in my account. Then, out of nowhere, they charged $175 from my card, and my account was reactivated. I checked my credit, and the $250 was gone, but they deposited money to cover a full month! First, they overcharged, removed my $250 credit, and then added more funds, even though I won't be using the service again. What a rip-off!"
Towelie,FR,"Sep 17, 2024",1,Scam,"Scam After you pay, they steal your data and ask for your private infos"
TechGirl,US,"Sep 14, 2024",1,Unresponsive to abuse complaints = blacklisted.,"Our web servers suffered a coordinated attack originating from multiple Vultr IP addresses primarily in France. I emailed daily abuse reports identifying the IP addresses and included time-stamped firewall log excerpts for evidence. After a week without any responses, I received a slew of responses all at once, each saying: ""Please submit an individual report for each separate IP/domain along with the logs/evidence..."" I don't have time to send dozens of separate abuse reports, one per IP address, and Vultr's abuse team is counting on that. I suspect that Vultr's abuse team has a list of ""bulletproof hosting"" customers against whom they will not take action. If pushed, they create roadblocks like demanding individual, per-IP, abuse reports, knowing that it makes reporting the abuse impractically time-consuming and tedious. I have now blocked all Vultr IPs at our firewall. They no longer have access to any of our web, email, cloud storage, VPN, or other servers. Ask yourself, do you want hosting services from a company whose IP addresses are being blocked for abuse?"
Duc Duc,KR,"Sep 13, 2024",1,Dangerous!!!!!!!!,"Dangerous!!!!!!!! After I reviewed the Vultr block of my account a few days ago, today I received an email from Vultr noticing that my email in Vultr account is changed and requires clicking link to confirm.... I don't click the link. I doubt about it and lock my credit card immediately. then 5 minutes later, the bank noticed that the transaction is canceled due to over my balance. oh my god, Vultr is not only blocking my account but although leaking my đata."
ShuHua Shen,TW,"Sep 8, 2024",1,Can not cancel the payment,"Can not cancel the payment, and no reply from customer service"
ninety seven,ID,"Sep 4, 2024",1,vult.com take my money and lock my…,vult.com take my money and lock my account and he not refund my balance
Clay,AU,"Sep 3, 2024",1,Charging me unexpected undisclosed…,"Charging me unexpected undisclosed costs for Plesk. Saying that the costs are ""influenced by decisions from our upstream providers"". However, this is mid agreement. It's a scam... Also, any offer they give you just disappears after a short time. I had $300 in credit but they were gone after a month. Also, bad layout, confusing names (how's your German?) and bad tech support."
Romeu Reis,PT,"Sep 2, 2024",1,"Worst service I ever used, keeping rejecting help on technical issues",
Sdpro,SK,"Aug 30, 2024",1,Money gambling,They have options to buy but the options doesn't say what it contains it's like buying a mystery gift aka gambling with your money
Phantom Gaming,NO,"Aug 29, 2024",1,Straight up scam when you pay for an expensive server and its useless,"Very expensive servers, bad customer service. Has bad servers that Are poorly configured. Cant even run pterodactyl panel (many other hosts can)"
Dong Nguyen,VN,"Aug 19, 2024",1,The service is terrible and feels like being scammed,"If they are not happy, they will disable your account without any reason. They do not let you backup your data, so please consider. I lost all my data and begged them to reopen it, but they refused because they reported me as violating the rules while I have not used the server they reported me as violating."
Noam Yakov,IL,"Aug 11, 2024",1,very bad service support so bad,
Jason Przyborowski,US,"Jul 31, 2024",1,Scam company,"They take your money--any amount--successfully, and then say ""we couldn't automatically verify your account"". I've never paid for ANYTHING and had it withheld!"
Jamie,TH,"Jul 29, 2024",5,"Long time customer, happy with services","Mostly use cloud compute instances, uptime is excellent and they have a large variety of locations to choose from. Been a customer for years without any major issues. Prices are hard to beat."
Salman Chowdhury,BD,"Jul 29, 2024",1,Poor Experience with Vultr: Unresponsive Support,"Don't waste your time on Vultr; the service is immature and leads to a bad experience. The support team is poor and response times are delayed. You will end up regretting trying Vultr. I added my card to my Vultr account and recharged it with some amount. The system said it couldn't verify automatically and that manual verification could take up to 24 hours. Four days have passed, and I can't log into my account. It keeps saying my password or username is invalid. I am damn sure I input the correct credentials. I also tried the ""forgot password"" option, but it says a reset link has been sent to my email, which never arrived in my inbox. I've tried several times on different time & days, but no success. I emailed them & ticket is created, a long time have been passed already but no one is replying to solve the problem. Seriously, it's a poor experience. I do not recommend using Vultr for production deployment. If any problem occurs, no one is likely to help you I want my money back, but no ways to get it back."
Ali Soudmand,AE,"Jul 24, 2024",1,Awful support team,Awful support team They delay you so much that you regret registering on this site.
Ben M,AU,"Jul 11, 2024",1,"Support so bad it can barely be called ""support""","Infrastructure works fine, mostly. When something does go wrong just deal with it because you're on your own. We're moving everything to Digital Ocean after the latest in a long history of poor support. Make a detailed support enquiry? Don't bother, they won't read the detail. They'll read the bit that gets them a one line reply where it isn't their problem. I expect their KPIs incentivise this. Ask a question. Have they seen an issue, that surely affects many of their customers.... no, not our problem. Okay, fine. I guess. How about how your systems work when changing OS of a VPS? How does it handle that? Again, an answer is too much to ask. They can't even be bothered to send a canned response with a URL. The attitude stinks. Need help once or year, or less... who cares? Its like they don't want clients who want support."
Łukasz Nowak,PL,"Jul 2, 2024",1,Terrible support,"The support is really terrible. They created some artifical reason to block all our services and then terminate our account. We've asked several times to ask about exact reason (as we didn't do anything against their TOS), so they sent us links to TOS again and then they stopped to answer. So if they will not like you, they can block you and don't even specify why. Stay away from this terrible company."
Beefy McWhatnow,CA,"Jul 1, 2024",1,Shocking the level of incompetence and…,Shocking the level of incompetence and all around terrible customer service. Wow. If you're considering using their services I highly recommend you look ANYWHERE else but here.
Bhi Hbj,VN,"Jun 25, 2024",1,I was think good but,"Optimized Cloud Compute"" instance, as the customer service suggested. They also threaten to ban my account and ask for tons of personal information, including something that feels like a detention essay."
Ario,FR,"Jun 24, 2024",2,Is Vultr Worth It? My Honest Opinion,"I've been using Vultr servers for 2 years now and I was initially very impressed with their performance and bandwidth. However, for the past few months, I've been experiencing consistent bandwidth throttling issues across multiple servers in different locations. This has made it difficult to use the servers for my services . I've tried contacting Vultr support about this issue, but they haven't been able to provide a satisfactory solution. I'm disappointed with the recent decline in service quality and I'm considering switching to a different provider. Overall, I have had a mixed experience with Vultr. I appreciate the good service I received in the beginning, but the recent bandwidth throttling issues have been a major disappointment. I hope that Vultr will take steps to address this issue and improve their service quality. I would like to continue using Vultr, but I will need to see a significant improvement before I can fully recommend their services."
Zakaria Elbeida,BE,"Jun 14, 2024",1,Very bad support,Very bad support
Dude Dangerous,US,"Jun 11, 2024",1,Lack of Response to Abuse Reports and Negligence,"I run a niche blockchain network called the D20 Network, which experienced a severe time attack starting on May 28, 2024. The attack originated from six IP addresses managed by Vultr Holdings Corporation. Despite multiple reports and requests for assistance, Vultr's technical support and abuse teams did not respond, allowing the attack to continue and escalate network difficulty to an unmanageable level. This negligence has caused our company an estimated loss of $675,000 due to halted block production, increased operational costs, and damage to our reputation. Furthermore, we have reported this issue to the Carbon County Sheriff’s Department, the FBI, the FTC, and other regulatory bodies. Vultr's failure to enforce their acceptable use policy and manage abuse complaints effectively raises serious concerns about their commitment to customer security and service quality. I urge other potential users to consider these issues before choosing Vultr as their hosting provider."
Bink,TH,"Jun 1, 2024",1,The service accused me of using excessive CPU,"The service accused me of using excessive CPU while I work on the ""Optimized Cloud Compute"" instance, as the customer service suggested. They also threaten to ban my account and ask for tons of personal information, including something that feels like a detention essay."
John Hayes,GB,"May 30, 2024",1,Avoid at all costs.,"Absolutely, unequivocally, avoid this provider at all costs. The attractive hourly pricing approach, API access, and various PoP provider are entirely nullified, and then some, when you have to deal with any ""human"" element of the company. The support staff are consistently condescending, woefully uninformed, and heavyhanded in their approaches to any kind of resolution - a particularly unfortunate trio when combined. Without doubt the worst customer service experience I have ever had, hosting or otherwise."
Iron Stark,VN,"May 30, 2024",1,Avoid using this hosting provider,"Avoid using this hosting provider. They never respect new customer. I deploy a server to run a bot for auto playing game online on chrome browser (not mining crypto ever), and never utilize exceed 100% CPU, but they accused me for that lol, now they ask me for vertification. About new TOS, your data not safe anymore, so everyone should migrate to another cloud provider like Digital Ocean, Linode... - which provide better promotion and safe for your data"
Sandis Icaks,LV,"May 23, 2024",1,"bad manager wokr, dont have phone call to call","Company do what they want with my balance, carching for 6 times one transaction, saying that they make refaund, but they didnt make, scam company"
Andrew,US,"May 3, 2024",5,VULTR is great but it is not for beginners.,"We are spending about $65 a month for a 4-core 8TB server with VULTR. I have used Amazon AWS and others and so far the performance is outstanding and the performance is without any issues. I don't understand why the rating is so low on Trustpilot, I think they need to ask happy customers to review otherwise only unhappy folks will leave the 1-star reviews. Not a service for folks who don't know what they are doing. Use GoDaddy or Siteground if you want a more user friendly control panel and all the support and hand holding. VULTR is great but not for beginners."
Unhappy,PL,"May 3, 2024",1,What a fuc king scam!!!!,What a fuc king scam!!!! I wanted to rent a GPU server and registered an account. After chosing which server i wanted it asked me to make a deposit via credit card which i did.So it charged my credit card and i had to rechoose again the server setup i would like. However now its telling me that i need approval from their support to buy any service from them. So i contacted their stupid support which needed 2 full working days to reply on my request to tell me i should fill out my profil and tell them for what its needed. I told them my profil was already filled out before and there was also a full description for what i was going to use their service. Later i received a reply telling me again to fill out my profil and describe for what i need their service. So i made a very long post so even the most stupid guy on the world would understand it. As a reply i received the information that this kind of service i can only apply after having an account for at least 60 days and building up trust. What a nonsense.But the best part is coming. I'm even not able to buy a small instance for $70 as i get no approval. I demanded of course for a full refund of my deposited money which all i get is silence. BEWARE SCAMMERS
Katarzyna Alagierska,PL,"Apr 26, 2024",1,"""Just had the same awful, arrogant experience as per Daniel Nethersole's review. I was using Excel and Outlook and got banned for excessive CPU usage. Stay away, folks! Don't let the promos tempt you.","""Just had the same awful, arrogant experience as per Daniel Nethersole's review. I was using Excel and Outlook and got banned for excessive CPU usage. Stay away, folks! Don't let the promo$ tempt you. You'll just waste time, money and nerves at Vultr."""
Daniel Nethersole,GB,"Apr 25, 2024",1,Thought I'd try out another host as…,"Thought I'd try out another host as DigitalOcean had some server woes on the day I wanted to deploy. Big regret trying Vultr. Within 5 days my server had been CPU limited because I was using excess resources of.. less than 25-30% CPU load. (On a NodeJS Database Sync script). Back to DigitalOcean it seems! Years ago I used Vultr and they were the underdog, now they seem to be content being the mess the dog left."
Alibek,KZ,"Apr 16, 2024",1,This is the most disgusting service…,"This is the most disgusting service you may experience. I rent a server costing abt 1500usd/month just to keep fighting my way through with the verification team. They ask for the credit card photo, then they ask for id photo, then they ask for the photo of you holding id. then they are not happy with that photo and ask another. then some otehr photos. and meanwhile, i can neither access the server disrupting my workflow, nor can i access the billing page. I cannot even stop, suspend or kill the server. now they are billing me for the whole period during which i was struggling with their perpetuous verification process. having worked for 8-10 hours, i have a bill of 600+usd. Another thing you shall bear in mind, they don't offer suspended state per se as google servers do. You continue incurring full charges even when the service is suspended/sleeping. Google charges just a fraction for this period."
Calagar,ES,"Apr 1, 2024",1,I keep getting charged,"I keep getting charged, I don't even use or run any services. The support is a joke they are not helpful."
Adrian,US,"Mar 29, 2024",5,Don't be mistaken by all the negative…,"Don't be mistaken by all the negative reviews on here. Vultr is a great service in regards to secure, low-level and straightforward hosting access."
James Neale,US,"Mar 28, 2024",1,Unfair terms of service.,
John Hipp,US,"Mar 28, 2024",1,No Customer service call in number,No Customer service call in number. Impersonal. Not a good.experience
M Kautsar Juhari,ID,"Mar 28, 2024",1,"They can ""Steal"" your content","So basically, now they can claim whatever content we host on their server like what? It's the first time I've seen this kind of bullsh*t. I know it's most likely that Vultr will use our content for AI training but who give them the consent to do so? we can't even NOT accept the new term of services. I have a lot of servers on Vultr, now I think it's the right time to move on to another service."
MK BC Sync,SK,"Mar 28, 2024",1,Changing the TOS to practically own all…,"Changing the TOS to practically own all of YOUR content is completely out of line, which could be also called a thievery. No one else does this. We end and recommend everyone to move avay from this provider."
John,PL,"Mar 27, 2024",1,"Banned for ""violation"" before the service purchase XD","I set up the basic account and couldn't even provide the billing details, while they already banned me for the ""violation"" of TOS, and I had not a single service used with them. That sounds extremely worrying if they can as easily kill and ruin a running production server for your business in a matter of minutes. Their responses feel like talking to AI."
Richard,US,"Mar 27, 2024",1,New TOS lets them do basically anything with your content,"New TOS gives them full commercial rights to everything hosted on their platform, in perpetuity, and with no compensation back to you. I am locked out of my account unless I agree. Some people online are saying it's likely they plan to train AI on everyone's websites/apps. Could also be plans to scrape and monetize database contents? I've been trying to get them to grant me access at least temporarily so I can migrate my projects out, but I keep getting the run-around. I feel like I'm being pressured to agree to something I'm not comfortable with under duress."
Social star,KH,"Mar 20, 2024",1,Very disappoint and the supportor is like a robot not human.,"After I paid for them and used their services for a few days it worked well, then they asked me to provide the documents and suspended my account for additional documents. In the ticket, I tried to ask them and give me some sample documents to let me check and provide to them but they didn't respond to me, They just said the verified failed but didn't tell me what kind of document. and then I tried to provide what I could and them again in the ticket but they didn't get their answer within 24 hours and then they terminated my account and said: As you are unable to comply with our request for documents, we are providing notice of our intent to discontinue service to this account effective immediately for violation of our Terms of Service/Acceptable Use Policies. They just terminated my account. I wonder are they human or just robots? Since they didn't answer the question and directly terminated the account. I experienced use with other companies, and there is good even in the ticket. At least a human conversation and mention every point we asked. I wouldn't recommend Vultr to anyone in my country and I will just post on my social and other things as well as I had a very bad experience with Vultr."
akashic seer,US,"Mar 14, 2024",1,Vultr is WOKE HOSTING.,"They have gone woke as woke can be. They now want to play thought and word police and will remove your app or website if anyone takes any offense at all to any of your content. Here is a section of their thought police policy Offensive Content. Content that is harmful to minors in any way, defamatory, libelous, obscene, abusive, threatening, discriminatory, harassing, invasive of privacy, false, intentionally misleading, patently offensive, or otherwise objectionable, including content that constitutes child pornography, relates to bestiality, depicts non-consensual sex acts or that promotes racism, bigotry, hatred, religious intolerance, misogyny, or physical harm of any kind against any group, individual or animal. Basically anything that can in any way offend anyone in any way. I can understand the porn BS but the rest is asinine. So who decides what is hatred or bigotry or religious intolerance etc. etc. And why misogyny and not misandry? After nearly 10 years, I recently removed my websites and will not suggest this hosting ever again to anyone ever. I wrote articles about how great Vultr was and how to use their API's and much more. Why would I risk putting customers on a platform like this where their website could randomly be shutdown at anytime? That would make me look bad. It was great while it lasted, but I won't wait around for surprises and I won't let my customers get angry at me because they typed a no no thought. These days everyone is so easily offended. Don't use Vultr. I noticed this BS policy updated when I signed in and it wanted me to agree to it. I immediately shut everything down. I hope their wokeness hits them like Bud Light and all the other pathetic woksters. I hope that vanguard and blackrock money is really worth it. Hey VULTR HERE'S AN IDEA. STICK TO HOSTING AND HOSTING ONLY GTFO OF WORD POLICING. hostgator and others don't have thought police BS use policies. I'll never suggest them to anyone ever again. I'll never use them for any customers ever again. Use them at your own risk. And damn sure don't use them for any customers who might get a nasty surprise if they type something some pronouner doesn't approve of and their site gets reported and shutdown. That kind of use policy is for social platforms not for hosting companies. FFS"
samuel bohr,AU,"Mar 7, 2024",1,DO NOT USE THIS SERVICE!!,DO NOT USE THIS SERVICE!!! Shut down my website multiple times and will destroy my website server completely in 48 hours. I am just a normal guy trying to run a website and doing nothing what so ever. DO NOT USE VULTR. Shut down website completly and will nto re active it. Pathetic
Shorinami,UA,"Feb 28, 2024",1,"The worst hosting provider ever, SCAM!","The worst hosting provider ever. Created an account, deposited money, got account on review. Next day could not login, said account does not exist. Tried to recover password, no mail arrived. Scam."
Bikram Rana,FR,"Feb 27, 2024",1,Beware of their scamming tactics,"Upon subscribing I was promised to get a $250 credit so I made a $50 deposit, everything was fine until I reached $60 in my balance : they removed the credit (which only last 1 month and at most I would've used $100) saying that I violated a policy, and they didn't even mention which one ! I contacted them, got a reply and I replied my ticket has been idle for over 1 week Then my account was suspended for non-payment before the next billing month, and when I contacted them they said that I shouldn't open a new ticket and provide any additional info in the first ticket in which they didn't reply ! + They store your payment method : my credit card was rejected at first and wasn't eligible for promotions but they tried to charge it anyways What a scamming and greedy company"
OM ALAIR,MA,"Feb 20, 2024",1,Theft and fraud,Theft and fraud. Theft and fraud. Theft and fraud.. Theft and fraud.. Theft and fraud.. Theft and fraud.. Theft and fraud.. Theft and fraud.. Theft and fraud.. Theft and fraud.
Ondrej Bartak,CZ,"Feb 17, 2024",1,dont recommend,"dont recommend. one day I woke up and couldnt connect to my server and account. they disabled it without warning and reason (always paid with card on time). So I was without data, customers everything. Avoid at all cost"
Grace K.,SG,"Feb 6, 2024",5,Exceptional Cloud Hosting Services,"I am thrilled to share my outstanding experience with Vultr's cloud hosting services. They have proven to be an exceptional provider, offering top-notch performance and reliability. First and foremost, Vultr's platform is incredibly user-friendly and intuitive. Setting up my cloud instances and managing my resources was a breeze. The user interface is well-designed, making it easy to navigate and access all the necessary features. The performance of Vultr's cloud servers is truly impressive. I experienced lightning-fast speeds and minimal downtime, ensuring that my websites and applications remained accessible at all times. Their robust infrastructure and global network of data centers contributed to an excellent user experience. Furthermore, the scalability of Vultr's cloud hosting services is remarkable. I could easily adjust my resources and upgrade my instances with just a few clicks. This flexibility allowed me to adapt to the changing demands of my projects without any hassle. Vultr's customer support team deserves special recognition. They are responsive, knowledgeable, and always ready to assist. Whenever I encountered an issue or had a question, their support team was quick to address my concerns and provide valuable solutions. In terms of pricing, Vultr offers competitive rates for their cloud hosting services. Their transparent pricing structure and flexible billing options allowed me to optimize my costs based on my specific needs. I appreciated having the ability to pay for only the resources I required, without any hidden fees or surprises. In summary, Vultr has exceeded my expectations with their exceptional cloud hosting services. Their user-friendly platform, outstanding performance, scalability, reliable customer support, and transparent pricing make them a top choice for cloud hosting solutions. I highly recommend Vultr to anyone in search of a reliable and high-performing cloud hosting provider."
Cường,VN,"Feb 1, 2024",1,Worst service ever,Worst service ever! Getting a lot of spam tickets from their side because of the issue my server didn't cause. Recommend staying away from them as much as you can!
正義,NZ,"Jan 31, 2024",1,Service is fine,"Service is fine, but they limited my cpu usage because of a matrix homeserver and now they're making me do ""normal usage"" for two weeks (?) and threatening to suspend my account if i dont write an entire essay and what i was doing and if i'm associated with anyone These guys treat you like a criminal if you do so much as simply use the vCpu a bit too much. Bloody awful! one way to loose a loyal customer I guess. I want my money back"
Ndungu,US,"Jan 31, 2024",1,Opened an account on January 1 2024 and…,Opened an account on January 1 2024 and made $50 deposit. Had hoped to test the service for possible long term service. Tried to login yesterday and realized my account has been closed. No response yet from support
John V.,GB,"Jan 26, 2024",5,I really love VULTR.,I really find Vultr to be good and affordable. Why are there so many bad reviews? Ignore them; I really love VULTR.
Dex Lee,AU,"Jan 16, 2024",1,Customer Service Very Poor,"Honestly Signed up with them moved all our company websites to them, and then we find out they block port 25 so we did the Port unblock request, and we are still awaiting 24 Hours later, and now i find out there finished for the day so thats a other 24 Hours our company can not even email customers or send invoices,"
KT E Money,LK,"Jan 4, 2024",1,Scam Web Site they are limit my CPU…,"Scam Web Site they are limit my CPU Speed and get my money and no any refund again, Fully Scam Site. Don't trust . Bad Customer Support Ticket: #OHX-63TXS Ticket: #QKE-93NXX"
Ray,GB,"Dec 16, 2023",1,Horrific Service & Support. Avoid at all costs!,"I think it would be fair to say that when the founders of Vultr decided to build a hosting company they all sat down and said ok guy’s, lets make by far the worst hosting company on the planet! You would have to think that when David Aninowsky, J.J. Kardwell, David Gucker, David Gucker, David Gucker and Mike Marinescu look at the reviews of their company they must say hey guys we are obviously doing really well! Vultr is without question the worst hosting company we have ever come across since the dawn of the internet. The arrogance of this company and specifically the almost non existent support is to behold and if you are considering Vultr then I seriously suggest you look at all the negative reviews because they are mainly true and with so many better alternatives my advice is look elsewhere! The short experience we have had with them defies all belief but we have decided to detail just a few of their failings otherwise we would be here forever. Firstly do not believe any of the marketing suggesting use credit, in some places I see $250 credit and indeed we took this offer up but there is no offer, you sign up and there is nothing and you immediately start paying for what can only be described as a mediocre service. It’s true that Vultr provides great documentation to get you up and running but that slips into insignificance with the way they run things. So picture this, we run a website that is not very large, medium traffic but way within side any of the perimeters we were operating in and we had been using one instance with Vultr for about 3 weeks with no issues and then suddenly our website was throttled to 25% of its CPU usage with totally killed the site, it would not load and was a disaster for us especially just before Christmas. We received and email from Vultr saying: Based on monitoring results and subsequent analysis, we have determined your CPU resource utilization profile is excessive and causing performance issues which may unfairly affect the population of Vultr subscribers as a whole. Accordingly, we have limited the maximum CPU resources your instances can consume (an account-wide setting). If you are able to reduce the performance impact we have observed, we may be able to adjust the limit or remove it altogether. Thank you for your cooperation! Staggered by this we checked everything and there was certainly no increase and anything other than than norm so we complained that we are not seeing this, where have you got this from and you have killed our site and we are loosing money. Support on this was non existent and in normally takes 24hrs to get any reply and this was what we got: Hello, Our formal service limitations are listed in our acceptable use policy; however, if subscribers exceed an acceptable level of usage and results in degrading overall system performance, we have the right to limit the account. We have set resource limits on your account due to high resource utilization that was impacting the performance for other customers on the same host node. You may petition to have these limits removed by maintaining consistently lower utilization for two weeks and then replying to this ticket. Please keep in mind that demonstrating normal account usage does not include leaving the account dormant. Thank you for understanding. Our policies for more information: Optimized Cloud Instances: --Vultr Trust & Safety-- Yes people you read that right, these CLOWNS are going to kill our site for 2 weeks by throttling the CPU to 25% meaning it could not be used anyway but they wanted us to pay for them killing it. As you can see there is no argument, there is no way round, its all over, they kill your site, your business and couldn’t care less. We can only assume David Aninowsky, J.J. Kardwell, David Gucker, David Gucker, David Gucker and Mike Marinescu think this is all ok, killing their clients websites and businesses is ok and leaving them with zero alternatives, what a bunch of clowns. So, my advice is to do what we did and moved to Digital Ocean and put the cretins at Vultr behind us. Working with Digital Ocean has been a dream, great support and the simple fact is we have piece of mind that some no mark is going to ruin our business for the sake of absolute nothing….. who would do that? Oh yeh… David Aninowsky, J.J. Kardwell, David Gucker, David Gucker, David Gucker and Mike Marinescu"
Erik,CA,"Dec 12, 2023",5,I can't get away from these guys,"I can't get away from these guys. I can't because the other hosting companies kind of suck. Everything with vultr is easier, the spooling up of a new server, setup of keys, implementing a account wide firewall, monitoring, backups and snapshots. I admin 3 servers, 2 w. plesk and one vpn. it's much easier than the popular ones out there, liquid, fly, digital, etc. I even tried a recent one, SUPER fast on double the ram, just a bit more than vultr- the ""3rd"" party ratings on this server were something I couldn't ignore- crunchb. did a head to head on a bare install of WP, measured thru all the popular website speed testing- 50% slower than vultr. CONS If you are doing a PBN, footprint would be huge if its all at the same company- any pbn at the same company different IP would be a tell. so thats not reall a con. But the email server set up- that does suck, as you have to use Vultr as your NS. Vultr's NS are not as good or as fast as other dedicated NS providers. This only pertains if you have a Plesk control panel and are hosting your email thru that- otherwise if you are with say, microsoft365 you just make the relevant changes at your domain register or DNS provider same as always. Also I cannot seem to get their apps for VPNs to ever work, so I use a github script to set up wireguard for me on a vanilla ubuntu install."
Tawfik Dukhan,DE,"Dec 11, 2023",1,Vultr's Deceptive Marketing and Unjust Fees,"I'm utterly disappointed with the deceitful practices and unjust charges levied by Vultr. My experience has been nothing short of a nightmare, and I feel compelled to share it with others to prevent them from falling victim to this company's misleading offers. Upon signing up, I was enticed by Vultr's alleged $250 credit promotion, only to witness this credit vanish into thin air immediately after making a payment. How could a supposed credit disappear without explanation? To add insult to injury, deploying an instance resulted in direct charges, contrary to the promised credit. When I raised my concerns through the ticketing system, instead of a resolution, I received an unhelpful and dismissive response from the Accounts Team, implying that my debit card was ineligible for promotions, without prior notice or clarification during the signup process. Furthermore, their attempt to manipulate the situation by instructing me to destroy active instances before addressing my request for cancellation is absurd and manipulative. It seems Vultr is more focused on keeping instances active to continue accruing charges rather than addressing legitimate customer grievances. The staff's response lacks empathy and fails to acknowledge the issue of false advertising and unauthorized charges. This is a clear case of misleading customers with fake promises and then conveniently shifting the blame to payment methods to justify their actions. My experience with Vultr has been nothing short of a scam. They use deceptive marketing tactics to lure customers in, only to hit them with unexpected charges and offer zero support when issues arise. It's appalling how they handle customers' concerns and blatantly ignore their responsibility in this matter. I strongly advise against trusting Vultr's promotions or services. Their lack of transparency, unhelpful customer service, and propensity to charge without justification are clear indicators of a company that prioritizes profit over customer satisfaction and honesty. I regret engaging with Vultr and strongly caution others to steer clear of this deceitful company."
Jared,GB,"Dec 10, 2023",1,Be very careful using this company,"Be very careful using this company. Unlike every other cloud provider I have used, Vulture will charge you for virtual servers even when they are switched off. This is not made clear when provisioning the service! Was not fun to login after a couple of months to see £100s charged to my account for a service I did not use."
Romuald Richard,FR,"Dec 8, 2023",1,Banned for an unknown reason,"We were a long-time customer of Vultr, and our account was blocked for an unknown reason. All instances were stopped, and a few days later it was no longer possible to log into the account. I recreated an account afterwards and it was immediately blocked as well. Given that Vultr has a subsidiary in the country where I operate (France, the Vultr company is called ""The Constant Company"" in France), and that in the country where I operate it is illegal to make an unjustified breach of contract as well as refusing a customer for any reason (the French commercial code explicitly states this), a legal complaint was filed against the French subsidiary ""The Constant Company"" (Vultr) by my company. We absolutely do not recommend, it's years of servers set up at Vultr, screwed up."
Jimmy Bob,US,"Dec 5, 2023",1,They charged me 170$ and ignored the…,They charged me 170$ and ignored the 250$ of credits that where on my account. When I messaged support they refused to refund me and locked my account asking for an ID I submitted an ID and have gotten no response in 4 days.
Person,GB,"Nov 28, 2023",1,Falsely advertising $2.50 rates and…,Falsely advertising $2.50 rates and change the minimum to $5 once you deposit
